,id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice,actual_totrms_abvgrd,g_gr_area,total_sf
0,109.0,533352170.0,60.0,RL,0.0,13517.0,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6.0,8.0,1976.0,2005.0,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,Gd,TA,CBlock,TA,TA,No,GLQ,533.0,Unf,0.0,192.0,725.0,GasA,Ex,Y,SBrkr,725.0,754.0,0.0,1479.0,0.0,0.0,2.0,1.0,3.0,1.0,Gd,6.0,Typ,0.0,None,Attchd,1976.0,RFn,2.0,475.0,TA,TA,Y,0.0,44.0,0.0,0.0,0.0,0.0,None,None,None,0.0,3.0,2010.0,WD ,130500,8.0,1954.0,1450.0
1,544.0,531379050.0,60.0,RL,43.0,11492.0,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7.0,5.0,1996.0,1997.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,Gd,TA,PConc,Gd,TA,No,GLQ,637.0,Unf,0.0,276.0,913.0,GasA,Ex,Y,SBrkr,913.0,1209.0,0.0,2122.0,1.0,0.0,2.0,1.0,4.0,1.0,Gd,8.0,Typ,1.0,TA,Attchd,1997.0,RFn,2.0,559.0,TA,TA,Y,0.0,74.0,0.0,0.0,0.0,0.0,None,None,None,0.0,4.0,2009.0,WD ,220000,10.0,2681.0,1826.0
2,153.0,535304180.0,20.0,RL,68.0,7922.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,7.0,1953.0,2007.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731.0,Unf,0.0,326.0,1057.0,GasA,TA,Y,SBrkr,1057.0,0.0,0.0,1057.0,1.0,0.0,1.0,0.0,3.0,1.0,Gd,5.0,Typ,0.0,None,Detchd,1953.0,Unf,1.0,246.0,TA,TA,Y,0.0,52.0,0.0,0.0,0.0,0.0,None,None,None,0.0,1.0,2010.0,WD ,109000,6.0,1303.0,2114.0
3,318.0,916386060.0,60.0,RL,73.0,9802.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5.0,5.0,2006.0,2007.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,384.0,384.0,GasA,Gd,Y,SBrkr,744.0,700.0,0.0,1444.0,0.0,0.0,2.0,1.0,3.0,1.0,TA,7.0,Typ,0.0,None,BuiltIn,2007.0,Fin,2.0,400.0,TA,TA,Y,100.0,0.0,0.0,0.0,0.0,0.0,None,None,None,0.0,4.0,2010.0,WD ,174000,9.0,1844.0,1128.0
4,255.0,906425045.0,50.0,RL,82.0,14235.0,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6.0,8.0,1900.0,1993.0,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,TA,PConc,Fa,Gd,No,Unf,0.0,Unf,0.0,676.0,676.0,GasA,TA,Y,SBrkr,831.0,614.0,0.0,1445.0,0.0,0.0,2.0,0.0,3.0,1.0,TA,6.0,Typ,0.0,None,Detchd,1957.0,Unf,2.0,484.0,TA,TA,N,0.0,59.0,0.0,0.0,0.0,0.0,None,None,None,0.0,3.0,2010.0,WD ,138500,8.0,1929.0,1507.0
5,138.0,535126040.0,20.0,RL,137.0,16492.0,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6.0,6.0,1966.0,2002.0,Gable,CompShg,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,247.0,Rec,713.0,557.0,1517.0,GasA,Ex,Y,SBrkr,1888.0,0.0,0.0,1888.0,0.0,0.0,2.0,1.0,2.0,1.0,Gd,6.0,Mod,1.0,Gd,Attchd,1966.0,Fin,2.0,578.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None,0.0,6.0,2010.0,WD ,190000,8.0,2466.0,3405.0
6,2827.0,908186070.0,180.0,RM,35.0,3675.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6.0,5.0,2005.0,2006.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,TA,TA,PConc,Gd,TA,Gd,GLQ,547.0,Unf,0.0,0.0,547.0,GasA,Gd,Y,SBrkr,1072.0,0.0,0.0,1072.0,1.0,0.0,2.0,0.0,2.0,1.0,TA,5.0,Typ,0.0,None,Basment,2005.0,Fin,2.0,525.0,TA,TA,Y,0.0,44.0,0.0,0.0,0.0,0.0,None,None,None,0.0,6.0,2006.0,New,140000,7.0,1597.0,1619.0
7,145.0,535154050.0,20.0,RL,0.0,12160.0,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,5.0,1959.0,1959.0,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,Rec,1000.0,Unf,0.0,188.0,1188.0,GasA,Fa,Y,SBrkr,1188.0,0.0,0.0,1188.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,Typ,0.0,None,Attchd,1959.0,RFn,2.0,531.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,None,MnPrv,None,0.0,5.0,2010.0,COD,142000,7.0,1719.0,2376.0
8,1942.0,535353130.0,20.0,RL,0.0,15783.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5.0,5.0,1952.0,1952.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,292.0,Unf,0.0,632.0,924.0,GasA,TA,Y,SBrkr,924.0,0.0,0.0,924.0,0.0,0.0,1.0,0.0,2.0,1.0,TA,6.0,Typ,0.0,None,Detchd,1952.0,Unf,1.0,420.0,TA,TA,Y,0.0,324.0,0.0,0.0,0.0,0.0,None,MnPrv,Shed,400.0,6.0,2007.0,WD ,112500,7.0,1344.0,1848.0
9,1956.0,535426130.0,60.0,RL,70.0,11606.0,Pave,None,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5.0,5.0,1969.0,1969.0,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,TA,TA,PConc,Gd,TA,Av,Rec,650.0,Unf,0.0,390.0,1040.0,GasA,TA,Y,SBrkr,1040.0,1040.0,0.0,2080.0,0.0,1.0,1.0,2.0,5.0,1.0,Fa,9.0,Typ,2.0,TA,Attchd,1969.0,Unf,2.0,504.0,TA,TA,Y,335.0,0.0,0.0,0.0,0.0,0.0,None,None,None,0.0,9.0,2007.0,WD ,135000,10.0,2584.0,2080.0
10,1044.0,527451290.0,160.0,RM,21.0,1680.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6.0,5.0,1971.0,1971.0,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,387.0,Unf,0.0,96.0,483.0,GasA,TA,Y,SBrkr,483.0,504.0,0.0,987.0,0.0,0.0,1.0,1.0,2.0,1.0,TA,4.0,Typ,0.0,None,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None,0.0,7.0,2008.0,COD,85400,5.0,1251.0,966.0
